time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.14200000000000002,0.145,0.14352380952380953,0.14400000000000002,0.0007315376902731988,0.125,0.127,0.12579999999999997,0.126,0.0006000000000000005,2.621,2.686,2.6591500000000003,2.66,0.018550673842208532,0.17400000000000002,0.177,0.17524999999999996,0.17500000000000002,0.0006982120021884377,0.835,0.854,0.8446000000000001,0.846,0.004913247398615303,0.125,0.126,0.12569999999999998,0.126,0.0004582575694955844,4.652,4.8,4.739999999999999,4.7395,0.03451811118818635,0.34900000000000003,0.35100000000000003,0.34964999999999996,0.35000000000000003,0.0005722761571129803,2.126,2.169,2.14715,2.1470000000000002,0.011520742163593526,0.123,0.125,0.12395,0.124,0.0004974937185533105,32,32,4096,11008,32016,True,2880,1
0.14,0.14300000000000002,0.14138095238095238,0.14100000000000001,0.0007853534524986026,0.121,0.123,0.12280000000000002,0.123,0.0005099019513592789,2.604,2.6710000000000003,2.6412500000000003,2.6420000000000003,0.015148844840449064,0.17200000000000001,0.17500000000000002,0.17350000000000002,0.17350000000000002,0.0008062257748298557,0.8270000000000001,0.852,0.843,0.845,0.005873670062235341,0.122,0.124,0.12285000000000004,0.123,0.00047696960070847325,4.694,4.815,4.754700000000001,4.751,0.04175056885840002,0.34500000000000003,0.34700000000000003,0.34565,0.34600000000000003,0.0005722761571129803,2.105,2.169,2.1428,2.1470000000000002,0.015657586020839942,0.122,0.124,0.123,0.123,0.0006324555320336765,32,32,4096,11008,32016,True,2848,1
0.138,0.14100000000000001,0.13961904761904764,0.14,0.0008438116736509222,0.121,0.123,0.12204999999999999,0.122,0.0006689544080129832,2.478,2.574,2.53625,2.54,0.021924586655168644,0.17,0.17300000000000001,0.17165000000000002,0.17200000000000001,0.0009096702699330133,0.807,0.833,0.8196999999999999,0.8230000000000001,0.0060506198029623304,0.121,0.123,0.12225000000000001,0.122,0.0005361902647381809,4.424,4.571,4.5089,4.516,0.03943082550492693,0.341,0.343,0.34209999999999996,0.342,0.0004358898943540677,2.104,2.1670000000000003,2.1362500000000004,2.145,0.016984919781971298,0.12,0.123,0.12134999999999999,0.121,0.0007262919523166982,32,32,4096,11008,32016,True,2816,1
0.136,0.14,0.13752380952380955,0.138,0.001051939144494026,0.121,0.122,0.1214,0.121,0.0004898979485566361,2.477,2.548,2.5081999999999995,2.5075000000000003,0.018186808406094785,0.168,0.17,0.1691,0.169,0.000538516480713451,0.806,0.8220000000000001,0.81335,0.8140000000000001,0.004972675336275238,0.12,0.122,0.1214,0.121,0.0005830951894845307,4.429,4.542,4.474100000000002,4.470000000000001,0.03383622319349485,0.337,0.339,0.338,0.338,0.0005477225575051667,2.103,2.144,2.12075,2.124,0.014173478754349636,0.11900000000000001,0.121,0.12020000000000002,0.12,0.0007483314773547845,32,32,4096,11008,32016,True,2784,1
0.134,0.137,0.13547619047619047,0.135,0.001005652956282995,0.117,0.11900000000000001,0.11809999999999998,0.11800000000000001,0.0006244997998398403,2.443,2.535,2.488,2.481,0.020596116138728714,0.166,0.169,0.16699999999999998,0.167,0.0007745966692414842,0.793,0.8220000000000001,0.8076500000000001,0.806,0.0077863662898684715,0.117,0.11900000000000001,0.11789999999999998,0.11800000000000001,0.0006244997998398403,4.374,4.5120000000000005,4.43755,4.4375,0.041801285865389386,0.333,0.335,0.33409999999999995,0.334,0.0006244997998398403,2.064,2.144,2.1093,2.103,0.023998124926752087,0.11800000000000001,0.12,0.11895000000000003,0.11900000000000001,0.0005894913061275767,32,32,4096,11008,32016,True,2752,1
0.132,0.136,0.13414285714285712,0.134,0.000888321814579888,0.116,0.11900000000000001,0.11769999999999999,0.11800000000000001,0.0006403124237432853,2.428,2.5020000000000002,2.47805,2.4865000000000004,0.019698921290263627,0.164,0.167,0.1652,0.165,0.0009797958971132722,0.793,0.8150000000000001,0.8095500000000001,0.8130000000000001,0.007255859700958948,0.116,0.11900000000000001,0.11769999999999999,0.11800000000000001,0.0006403124237432853,4.402,4.506,4.45805,4.4544999999999995,0.028011560113638766,0.329,0.331,0.33010000000000006,0.33,0.0005385164807134509,2.063,2.124,2.1136499999999994,2.122,0.01723448577706917,0.116,0.11800000000000001,0.11725000000000001,0.117,0.0005361902647381809,32,32,4096,11008,32016,True,2720,1
0.131,0.134,0.1325714285714286,0.133,0.0009547589359887351,0.114,0.116,0.11495000000000002,0.115,0.0004974937185533104,2.334,2.427,2.3655500000000003,2.365,0.020848201361268567,0.165,0.168,0.16599999999999998,0.166,0.0008366600265340764,0.802,0.8160000000000001,0.8103499999999999,0.809,0.0041746257317273406,0.114,0.115,0.11475000000000002,0.115,0.0004330127018922197,4.1930000000000005,4.34,4.2667,4.272,0.03641853923484576,0.325,0.327,0.32635,0.326,0.0005722761571129803,2.085,2.125,2.1102,2.105,0.012274363527287304,0.112,0.114,0.11325,0.113,0.0006224949798994372,32,32,4096,11008,32016,True,2688,1
0.129,0.132,0.13033333333333333,0.13,0.0008357108940373457,0.113,0.115,0.11415000000000002,0.114,0.00047696960070847325,2.305,2.386,2.3492,2.347,0.022055838229366815,0.162,0.165,0.16375,0.164,0.0008291561975888506,0.799,0.8150000000000001,0.8049,0.802,0.004825971404805465,0.113,0.115,0.11405000000000003,0.114,0.0004974937185533104,4.17,4.301,4.23955,4.2485,0.034547756801274365,0.322,0.323,0.3224000000000001,0.322,0.000489897948556636,2.083,2.124,2.096800000000001,2.084,0.015822768405054803,0.111,0.113,0.11185000000000003,0.112,0.0005722761571129803,32,32,4096,11008,32016,True,2656,1
0.127,0.131,0.12885714285714284,0.129,0.0008883218145798878,0.112,0.115,0.11365,0.114,0.0006538348415311016,2.306,2.4010000000000002,2.35655,2.3535000000000004,0.02348504843512146,0.16,0.165,0.16185,0.1615,0.0011947803145348531,0.791,0.8150000000000001,0.8028000000000001,0.805,0.0070611613775638975,0.113,0.115,0.11385000000000003,0.114,0.0006538348415311016,4.15,4.312,4.216050000000001,4.2059999999999995,0.042885283023433536,0.317,0.319,0.31829999999999997,0.318,0.0006403124237432854,2.062,2.124,2.0938499999999998,2.0945,0.019558310254211713,0.109,0.111,0.11040000000000001,0.11,0.0005830951894845307,32,32,4096,11008,32016,True,2624,1
0.126,0.129,0.12757142857142853,0.128,0.0007284313590846841,0.11,0.112,0.11125000000000003,0.111,0.0006224949798994371,2.1390000000000002,2.18,2.1599500000000003,2.156,0.011538955758646396,0.16,0.164,0.16140000000000002,0.161,0.0009165151389911689,0.799,0.8140000000000001,0.80715,0.806,0.0042693676346737845,0.11,0.112,0.11115000000000001,0.111,0.0004769696007084733,4.1450000000000005,4.32,4.219949999999999,4.223,0.04422835628869783,0.314,0.316,0.31475000000000003,0.315,0.0005361902647381809,2.082,2.123,2.1054499999999994,2.102,0.011787599416335868,0.109,0.112,0.1095,0.109,0.0008062257748298557,32,32,4096,11008,32016,True,2592,1
